Millennium Park,member,-87.62416,41.8811,3871
LaSalle St & Illinois St,casual,-87.6317,41.8908,3829
Broadway & Sheridan Rd,member,-87.65,41.95282,3827
Sedgwick St & Webster Ave,member,-87.63892,41.92217,3803
Clark St & Lincoln Ave,casual,-87.63461,41.91571,3790
Wood St & Milwaukee Ave,member,-87.67252,41.90763,3781
Wells St & Walton St,member,-87.63443,41.89993,3761
Wabash Ave & 9th St,member,-87.62574,41.87075,3760
Ogden Ave & Chicago Ave,member,-87.65406,41.89637,3686
New St & Illinois St,casual,-87.61853,41.89081,3680
McClurg Ct & Ohio St,casual,-87.61729,41.89261,3680
Southport Ave & Wrightwood Ave,member,-87.66388,41.92876,3675
Clark St & Armitage Ave,casual,-87.63632,41.91829,3657
900 W Harrison St,member,-87.64982,41.87477,3646
Mies van der Rohe Way & Chicago Ave,member,-87.62179,41.897,3632
Montrose Harbor,member,-87.63819,41.96396,3628
Clark St & Wellington Ave,member,-87.64756,41.93649,3610
Kingsbury St & Kinzie St,casual,-87.63849,41.88918,3608
Milwaukee Ave & Wabansia Ave,member,-87.6814,41.91262,3597
Sangamon St & Lake St,member,-87.65105,41.88583,3575
Clark St & Winnemac Ave,member,-87.66784,41.97331,3555
Kimbark Ave & 53rd St,member,-87.59474,41.79957,3549
Wells St & Hubbard St,casual,-87.63429,41.88996,3531
DuSable Lake Shore Dr & Diversey Pkwy,casual,-87.63642,41.93257,3522
Sheridan Rd & Montrose Ave,member,-87.65464,41.96163,3506
Southport Ave & Belmont Ave,member,-87.66377,41.93945,3414
Kedzie Ave & Milwaukee Ave,member,-87.7079,41.92958,3403
Michigan Ave & Lake St,casual,-87.62444,41.88599,3386
Clark St & Newport St,casual,-87.65472,41.94452,3368
Racine Ave & Congress Pkwy,member,-87.65704,41.87467,3364
Southport Ave & Wellington Ave,member,-87.6636,41.93577,3351
Financial Pl & Ida B Wells Dr,member,-87.63313,41.87503,3323
Rhodes Ave & 32nd St,member,-87.61348,41.8364,3319
Clifton Ave & Armitage Ave,member,-87.65697,41.91821,3315
Wabash Ave & 16th St,member,-87.62581,41.86039,3300
Lakeview Ave & Fullerton Pkwy,casual,-87.63897,41.92588,3280
Carpenter St & Huron St,member,-87.65344,41.89456,3267
Elizabeth St & Randolph St,member,-87.65894,41.88436,3265
Clarendon Ave & Junior Ter,member,-87.64957,41.961,3260
Honore St & Division St,member,-87.6739,41.90311,3259
Larrabee St & Webster Ave,casual,-87.64411,41.9218,3239
Lincoln Ave & Diversey Pkwy,member,-87.6587,41.93222,3237
Aberdeen St & Monroe St,member,-87.65555,41.88041,3236
Clark St & Chicago Ave,member,-87.63089,41.89675,3209
Broadway & Barry Ave,casual,-87.64411,41.9376,3182
Mies van der Rohe Way & Chestnut St,member,-87.62206,41.89856,3164
Clark St & Leland Ave,member,-87.66735,41.96707,3160
Jefferson St & Monroe St,member,-87.64275,41.88034,3136
LaSalle Dr & Huron St,member,-87.6323,41.89483,3134
Field Museum,casual,-87.61796,41.86534,3104
Wells St & Huron St,casual,-87.63441,41.89471,3100
DuSable Lake Shore Dr & Wellington Ave,casual,-87.63683,41.93671,3098
Columbus Dr & Randolph St,casual,-87.61955,41.88465,3092
Racine Ave & Belmont Ave,member,-87.65886,41.9397,3078
Aberdeen St & Randolph St,member,-87.65428,41.88412,3068
Halsted St & Roosevelt Rd,member,-87.64863,41.86738,3064
